,age,education_level,annual_income,monthly_income,debt_to_income_ratio,credit_score,loan_amount,interest_rate,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back,age_group,gender_Male,gender_Other,loan_term_60,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Widowed,employment_status_Employed,employment_status_Retired,employment_status_Self-employed,employment_status_Student,employment_status_Unemployed,loan_purpose_Business,loan_purpose_Car,loan_purpose_Debt consolidation,loan_purpose_Education,loan_purpose_Home,loan_purpose_Medical,loan_purpose_Other,loan_purpose_Vacation,loan_to_income,has_delinquency_history,sevetity_score,payment_income
3928,28,2.0,10.751751018005226,8.26707918519752,0.2715526905218973,773,29588.02,9.79,951.81,1.0,3,10.561907409530132,10.440689151729712,0.6931471805599453,0,1,1,4.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,29577.268248981996,1,1,115.13256117157404
12469,34,1.0,10.6186420361508,8.13400411979247,0.26313319953036823,775,500.0,9.69,16.06,1.0,3,10.841660708213862,10.735824990351299,1.0986122886681096,0,2,1,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,489.3813579638492,1,2,1.974427325518708
1362,60,1.0,9.514390503872104,7.030291445040053,0.17563256864315802,748,21230.36,10.29,687.94,1.0,5,9.972700599782618,9.10340973543455,0.6931471805599453,0,1,1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21220.84560949613,1,1,97.85369573623427
2979,57,1.0,10.081106820880521,7.596658466530331,0.23507212217948356,648,6602.02,14.95,228.7,3.0,5,10.524569288945708,9.905900638700402,1.0986122886681096,0,2,1,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6591.93889317912,1,2,30.1053418430769
13191,23,1.0,10.966092971452618,8.48137532201744,0.07973496801885356,594,17108.03,14.48,588.71,4.0,3,11.385505530710656,10.941262550942138,0.6931471805599453,0,1,1,4.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17097.063907028547,1,1,69.41209151205977
4822,67,1.0,10.750714553269988,8.266043606690744,0.08525984395082342,607,27095.93,14.02,926.34,4.0,5,10.841800994517502,9.745105349094269,0.6931471805599453,0,1,1,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27085.17928544673,1,1,112.06570447441109
11006,59,0.0,11.5525756051373,9.067775154093187,0.24451357705040225,557,25457.12,14.95,604.96,5.0,5,11.50238753551481,10.6937623512674,1.3862943611198906,0,3,1,0.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,25445.567424394863,1,3,66.71537281412647
11457,22,0.0,10.8471198731681,8.362427655937312,0.09075436326846414,803,3529.71,10.95,115.47,0.0,8,11.3105967735699,11.047412059563746,0.0,1,0,1,4.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3518.862880126832,0,1,13.808191203665178
5897,38,0.0,11.832274722258207,9.347448360947839,0.1705863005755337,667,11228.24,13.6,381.58,3.0,10,12.028584707954069,11.72441667062547,0.0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11216.407725277742,0,0,40.82183557110418
10208,29,1.0,10.934015307053992,8.449303996368604,0.3177261938001576,593,25625.88,16.81,911.21,4.0,3,11.244662678374828,10.835567181181673,1.0986122886681096,0,2,0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25614.945984692946,1,2,107.84438580877499
